,id,name,neighbourhood,room_type,price
157,1910193,FLATSHARE in North Point,Eastern,Private room,147.0
158,1910291,Modern Self-Contained Studio in LKF Central.,Central & Western,Entire home/apt,680.0
159,1922220,Right smack 'n Central Hong Kong!!,Central & Western,Entire home/apt,647.0
160,1927047,HK Room for 2 persons 香港2人房間,Sham Shui Po,Private room,239.0
161,1932651,Opposite Langham 10s MK MTR  4ppl,Yau Tsim Mong,Entire home/apt,592.0
162,1944230,3 BR hidden gem over hideaway beach,Islands,Entire home/apt,1800.0
163,1971970,Wan Chai  room ---- Available  !!!,Wan Chai,Private room,181.0
164,2019027,Big room in Sai Ying pun,Central & Western,Private room,288.0
165,2023516,WANCHAI  Room --  *************,Wan Chai,Private room,250.0
166,2026068,"COZY AND CLEAN,MONG KOK,FIT 3 PPL",Yau Tsim Mong,Private room,600.0
167,2029867,Luxury Studio Apartment Near Causeway Bay [1],Eastern,Entire home/apt,818.0
168,2038687,"Elegant, Comfortable, Convenient",Sha Tin,Entire home/apt,650.0
169,2039450,cozy studio G causeway bay hongkong,Wan Chai,Entire home/apt,280.0
170,2039863,Newly renovated Unit 5 – Explore like a local,Wan Chai,Entire home/apt,1200.0
171,2076354,Cosy 1 bedroom seaview apartment,Islands,Entire home/apt,1100.0
172,2079554,Nice room in Shek Tong Tsui,Central & Western,Private room,197.0
173,2118190,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，大床房,Yau Tsim Mong,Private room,700.0
174,2118222,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，雙床房,Yau Tsim Mong,Private room,750.0
175,2118400,尖沙咀核心地帶，雙地鐵口，步行至維港3分鐘，家庭房,Yau Tsim Mong,Private room,900.0
176,2161352,尖沙咀的1房1厅，住3人，有厨房月租14000起,Yau Tsim Mong,Private room,709.0
177,2180315,Deluxe Yau Ma Tei Studio,Yau Tsim Mong,Private room,214.0
178,2184084,Stylish+Chic @Midlevel Centre St,Central & Western,Entire home/apt,1938.0
179,2186111,Double Room with sofa for rent 油麻地雙人房連梳化獨立衛浴出租,Yau Tsim Mong,Private room,287.0
180,2190412,NEW 2BR Apartment in Central,Central & Western,Entire home/apt,1557.0
181,2217839,Room in Fortress Hill - F4c,Eastern,Private room,250.0
182,2246101,3 Bedrooms (SK7) Centrally located,Wan Chai,Entire home/apt,1424.0
183,2269506,2BR in SOHO- STAUNTON ST. 100m from ESCALATOR #1,Central & Western,Entire home/apt,2888.0
184,2272136,2 BR T.S.T. Kowloon Flat 700 sq ft,Yau Tsim Mong,Entire home/apt,1147.0
185,2298810,One bedroom with its own balcony.,Sai Kung,Private room,645.0
186,2299744,innspirit - Private room in TST,Yau Tsim Mong,Private room,400.0
187,2316125,innspirit -- A comfy and tidy suite,Yau Tsim Mong,Private room,480.0
188,2334461,innspirit - Triple room in TST,Yau Tsim Mong,Private room,700.0
